APPIC Number,Site / Department,URL,Location,Application Due Date,Program,Last Updated
2660,"AMS Wellness, LLC /Clinical Psychology Department ",https://membership.appic.org/directory/display/3420,"Willowbrook , IL, USA",12/15/2025 11:59 PM EST,Internship,11/19/2025
2667,Apex Psychological Services LLC/Psychology,https://membership.appic.org/directory/display/3381,"Woodbridge, CT, USA",01/02/2026 11:59 PM EST,Internship,12/15/2025
2441,BHC ALHAMBRA HOSPITAL /PSYCHOLOGY ,https://membership.appic.org/directory/display/2077,"Rosemead, CA, USA",02/27/2026 11:59 PM EST,Internship,12/22/2025
2664,Bureau of Prisons/FCI Otisville/Psychology,https://membership.appic.org/directory/display/3468,"Otisville, NY, USA",,Internship,01/08/2026
2646,"California State University, Dominguez Hills/Student Psychological Services",https://membership.appic.org/directory/display/3368,"Carson, CA, USA",11/09/2025 11:59 PM EST,Internship,07/31/2025
2665,"Caring Hands & Open Hearts, LLC/CHOH - Service Provision",https://membership.appic.org/directory/display/3458,"Douglasville, GA, USA",12/31/2025 11:59 PM EST,Internship,01/12/2026
2654,Central Focus Psychological Group/Central Focus Psychological Group Clinical Training Program,https://membership.appic.org/directory/display/3065,"Colorado Springs, CO, USA",11/28/2025 11:59 PM EST,Internship,08/25/2025
2656,"Clinical Alliance Services, LLC/Psychology Training",https://membership.appic.org/directory/display/3402,"Cambridge, MA, USA",12/05/2025 11:59 PM EST,Internship,12/04/2025
2653,Cognitive & Behavioral Consultants of Westchester and Manhattan/Clinical Training,https://membership.appic.org/directory/display/3360,"White Plains, NY, USA",11/03/2025 11:59 PM EST,Internship,09/12/2025
2666,Counseling Associates/Psychology,https://membership.appic.org/directory/display/3408,"New London, NH, USA",12/23/2025 11:59 PM EST,Internship,12/11/2025
2668,DR. INZINNA PSYCHOLOGICAL SERVICES PLLC/Clinical Training and Supervision,https://membership.appic.org/directory/display/3511,"New Rochelle, NY, USA",01/16/2026 11:59 PM EST,Internship,12/18/2025
2658,East Tennessee State University/Institute for Integrated Behavioral Health,https://membership.appic.org/directory/display/3412,"Johnson City, TN, USA",12/01/2025 11:59 PM EST,Internship,10/21/2025
